ciBusinessName,ciFiscalCode,ptBusinessName,ptFiscalCode
Agenzia Industrie Difesa,97254170588,Intesa Sanpaolo SPA,799960158
Agenzia Interregionale per Il Fiume Po,92116650349,Regione Piemonte,80087670016
Agenzia Italiana del Farmaco - AIFA,97345810580,Agenzia Italiana del Farmaco - AIFA,97345810580
Agenzia Italiana per la Gioventù,97474140585,Banca Nazionale del Lavoro S.p.A.,9339391006
Agenzia Lavoro e Sviluppoimpresa,90160400322,Regione Autonoma Friuli-Venezia Giulia,80014930327
Agenzia Lucana di Sviluppo e di Innovazione in Agricoltura,00627370778,Regione Basilicata,80002950766
AGENZIA MOBILITA' SRL,02558190357,Next Step Solution,2554480349
Agenzia Nazionale di Valutazione del Sistema Universitario e della Ricerca,97653310587,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Agenzia Nazionale per i Servizi Sanitari Regionali - AGENAS,97113690586,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Agenzia Nazionale per i Servizi Sanitari Regionali - AGENAS,97113690586,Intesa Sanpaolo SPA,799960158
Agenzia Nazionale per La Sicurezza Delle Ferrovie,94165250484,Next Step Solution,2554480349
Agenzia Nazionale per La Sicurezza Delle Ferrovie e Delle Infrastrutture Stradali e Autostradali,96443320583,Next Step Solution,2554480349
Agenzia per i contratti pubblici - ACP,94116410211,Alto Adige Riscossioni Spa,2805390214
Agenzia per il Diritto allo Studio Universitario dell'Umbria,00453460545,Regione Umbria,80000130544
Agenzia per Il Diritto allo Studio Universitario di Puglia,06888240725,"Unicredit, Societa' per Azioni",348170101
Agenzia per Il Diritto allo Studio Universitario di Puglia,06888240725,Dedagroup Public Services S.R.L.,1727860221
Agenzia per Il Diritto allo Studio Universitario di Puglia,06888240725,Regione Puglia,80017210727
Agenzia per Il Trasporto Pubblico Locale del Bacino di Bergamo,04083130163,P.A. Digitale spa,6628860964
"AGENZIA PER IL TRASPORTO PUBBLICO LOCALE DEL BACINO DI COMO, LECCO E VARESE",03638610133,Regione Lombardia,80050050154
Agenzia per Il Trasporto Pubblico Locale del Bacino di Cremona e Mantova,02475090201,Regione Lombardia,80050050154
Agenzia per L'Energia Alto Adige - Casaclima,02818150217,Alto Adige Riscossioni Spa,2805390214
Agenzia per L'Italia Digitale,97735020584,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Agenzia per l’Energia e l’Ambiente SRL,02227380546,Regione Umbria,80000130544
Agenzia per la protezione civile,80013370210,Alto Adige Riscossioni Spa,2805390214
Agenzia per le Erogazioni in Agricoltura - AGEA,97181460581,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Agenzia per le Erogazioni in Agricoltura - AGEA,97181460581,Nexi SpA,13212880150
Agenzia per Lo Sviluppo Sociale Ed Economico della Provincia Autonoma di Bolzano,94108390215,Alto Adige Riscossioni Spa,2805390214
Agenzia Piemonte Lavoro,97595380011,"Unicredit, Societa' per Azioni",348170101
Agenzia Provinciale per L'Energia e L'Ambiente,93042510771,Regione Basilicata,80002950766
Agenzia Provinciale per L'Istruzione e La Formazione Professionale L'Orientamento e L'Impiego,93038300773,Regione Basilicata,80002950766
Agenzia Regionale Attivita Irrigue e Forestali,07026760723,Dedagroup Public Services S.R.L.,1727860221
Agenzia Regionale Attivita Irrigue e Forestali,07026760723,Regione Puglia,80017210727
Agenzia Regionale Conservatoria Delle Coste della Sardegna,03176390924,Regione Autonoma della Sardegna,80002870923
Agenzia regionale dell'Abruzzo per la Committenza,91022630676,Agenzia regionale dell'Abruzzo per la Committenza,91022630676
Agenzia Regionale di Sanita della Toscana,04992010480,Regione Toscana,1386030488
Agenzia Regionale Emergenza Urgenza,11513540960,Regione Lombardia,80050050154
Agenzia Regionale per il Diritto allo Studio,01241240322,Regione Autonoma Friuli-Venezia Giulia,80014930327
"Agenzia regionale per il lavoro, la formazione e l'accreditamento",02437860998,Regione Liguria,849050109
Agenzia Regionale per la Casa e l'Abitare - Arca - Puglia Centrale,00267390722,Poste Italiane S.P.A.,97103880585
Agenzia Regionale per la Casa e l'Abitare - Arca - Puglia Centrale,00267390722,Regione Puglia,80017210727
Agenzia Regionale per la Casa e l'Abitare - ARCA Sud Salento,00152490751,P.A. Digitale spa,6628860964
Agenzia Regionale per la Casa e L'Abitare per la provincia di Taranto,00091580738,Poste Italiane S.P.A.,97103880585
Agenzia Regionale per la Casa e L'Abitare per la provincia di Taranto,00091580738,KOINE' SRL,1934790971
Agenzia Regionale per la Casa e L'Abitare per la provincia di Taranto,00091580738,P.R.T. S.p.A.,487700015
Agenzia Regionale per La Lingua Friulana,94094780304,Regione Autonoma Friuli-Venezia Giulia,80014930327
Agenzia Regionale per la Prevenzione e Protezione Ambientale del Veneto,92111430283,Regione del Veneto,80007580279
"Agenzia Regionale per la Prevenzione, l'Ambiente e l'Energia dell'Emilia Romagna",04290860370,Lepida Spa,2770891204
Agenzia Regionale per La Promozione del Turismo della Campania,95255690638,Publisys SPA,975860768
Agenzia Regionale per La Promozione del Turismo della Campania,95255690638,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Agenzia Regionale per la Promozione Turistica in Liguria,95054110101,Regione Liguria,849050109
Agenzia Regionale per la protezione ambientale della Toscana,04686190481,Regione Toscana,1386030488
Agenzia Regionale per la Protezione dell'Ambiente del Friuli Venezia Giulia,02096520305,Regione Autonoma Friuli-Venezia Giulia,80014930327
Agenzia Regionale per la Protezione dell'Ambiente del Lazio,97172140580,Regione Lazio,80143490581
Agenzia Regionale per la Protezione dell'Ambiente del Molise,01479560706,P.A. Digitale spa,6628860964
Agenzia Regionale per la Protezione dell'Ambiente del Piemonte,07176380017,Regione Piemonte,80087670016
Agenzia Regionale per la Protezione dell'Ambiente del Piemonte,07176380017,Dedagroup Public Services S.R.L.,1727860221
Agenzia Regionale per la Protezione dell'Ambiente dell'Umbria,94086960542,Regione Umbria,80000130544
Agenzia Regionale per la Protezione dell'Ambiente della Basilicata,01318260765,Regione Basilicata,80002950766
Agenzia Regionale per la Protezione dell'Ambiente della Calabria,02352560797,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Agenzia Regionale per la Protezione dell'Ambiente della Calabria,02352560797,P.A. Digitale spa,6628860964
Agenzia Regionale per la Protezione dell'Ambiente della Campania,07407530638,Maggioli SPA,6188330150
Agenzia Regionale per la Protezione dell'Ambiente della Lombardia,13015060158,Regione Lombardia,80050050154
Agenzia Regionale per la Protezione dell'Ambiente della Lombardia,13015060158,P.A. Digitale spa,6628860964
Agenzia Regionale per la Protezione dell'Ambiente della Puglia,05830420724,Dipartimento della funzione pubblica della Presidenza del consiglio dei ministri,80243510585
Agenzia Regionale per la Protezione dell'Ambiente della Puglia,05830420724,Regione Puglia,80017210727
Agenzia Regionale per la Protezione dell'Ambiente della Sardegna,92137340920,Regione Autonoma della Sardegna,80002870923
Agenzia Regionale per la Protezione dell'Ambiente della Sicilia,97169170822,Intesa Sanpaolo SPA,799960158
Agenzia Regionale per la Protezione dell'Ambiente della Valle D'Aosta,00634260079,Regione Autonoma Valle D'Aosta,80002270074
Agenzia Regionale per la Protezione dell'Ambiente della Valle D'Aosta,00634260079,"Banca Popolare di Sondrio, Società Cooperativa per Azioni",53810149
Agenzia Regionale per la Protezione dell'Ambiente delle Marche,01588450427,Regione Marche,80008630420
Agenzia Regionale per la Protezione dell'Ambiente delle Marche,01588450427,Argentea S.r.l.,2260390220
Agenzia Regionale per la Protezione dell'Ambiente Ligure,01305930107,Regione Liguria,849050109
Agenzia Regionale per La Ricerca in Agricoltura - Agris,02270290907,Regione Autonoma della Sardegna,80002870923
Agenzia Regionale per La Tutela dell' Ambiente dell' Abruzzo,91059790682,Agenzia regionale dell'Abruzzo per la Committenza,91022630676
Agenzia Regionale per Le Erogazioni in Agricoltura,91215060376,Lepida Spa,2770891204
Agenzia Regionale per Le Politiche Attive del Lavoro - Arpal Puglia,93497660725,Regione Puglia,80017210727
Agenzia Regionale per lo Sviluppo Agricolo Rurale e della Pesca - Arsarp,01541820708,P.A. Digitale spa,6628860964
Agenzia Regionale per Lo Sviluppo Rurale - Ersa,00485650311,Regione Autonoma Friuli-Venezia Giulia,80014930327
Agenzia Regionale Piemontese per le Erogazioni in Agricoltura,97694170016,Regione Piemonte,80087670016
Agenzia Regionale Sanitaria Marche,01486510421,Regione Marche,80008630420
Agenzia Regionale Strategica per La Salute Ed Il Sociale,93496810727,Regione Puglia,80017210727
Agenzia Regionale Toscana per Le Erogazioni in Agricoltura,05096020481,Regione Toscana,1386030488
AGENZIA REGIONALE UNIVERSIADI PER LO SPORT,95230880635,Regione Campania,80011990639
Agenzia Sanitaria Regionale Abruzzo,01780030688,Agenzia regionale dell'Abruzzo per la Committenza,91022630676
Agenzia Sarda Delle Entrate,92247480921,Regione Autonoma della Sardegna,80002870923
Agenzia sarda per le politiche attive del lavoro,92028890926,Regione Autonoma della Sardegna,80002870923
AGENZIA SPAZIALE ITALIANA,97061010589,UNIMATICA-RGI S.p.A.,2098391200
Agenzia Territoriale per la Casa del Piemonte Centrale,00499000016,UNIMATICA-RGI S.p.A.,2098391200
Agenzia Territoriale per la Casa del Piemonte Centrale,00499000016,Intesa Sanpaolo SPA,799960158
